2026-02-02 15:02:54,741 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 15:02:54,741 | INFO | SKIP 01_save_session
2026-02-02 15:02:54,742 | INFO | RUN  02_capture_document_html
2026-02-02 15:03:03,592 | INFO | RUN  03_extract_from_document
2026-02-02 15:03:04,581 | INFO | RUN  select_events
2026-02-02 15:03:04,741 | INFO | SKIP 20_make_risk_windows
2026-02-02 15:03:04,742 | INFO | SKIP 30_refresh_actuals
2026-02-02 15:03:04,742 | INFO | SKIP 40_compute_surprise
2026-02-02 15:03:04,742 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 15:10:02,978 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 15:10:02,979 | INFO | SKIP 01_save_session
2026-02-02 15:10:02,979 | INFO | RUN  02_capture_document_html
2026-02-02 15:10:12,319 | INFO | RUN  03_extract_from_document
2026-02-02 15:10:13,611 | INFO | RUN  select_events
2026-02-02 15:10:13,772 | INFO | SKIP 20_make_risk_windows
2026-02-02 15:10:13,772 | INFO | SKIP 30_refresh_actuals
2026-02-02 15:10:13,772 | INFO | SKIP 40_compute_surprise
2026-02-02 15:10:13,773 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 15:14:19,054 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 15:14:19,054 | INFO | SKIP 01_save_session
2026-02-02 15:14:19,054 | INFO | RUN  02_capture_document_html
2026-02-02 15:14:28,165 | INFO | RUN  03_extract_from_document
2026-02-02 15:14:29,368 | INFO | RUN  select_events
2026-02-02 15:14:29,539 | INFO | SKIP 20_make_risk_windows
2026-02-02 15:14:29,539 | INFO | SKIP 30_refresh_actuals
2026-02-02 15:14:29,539 | INFO | SKIP 40_compute_surprise
2026-02-02 15:14:29,539 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 15:18:19,114 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 15:18:19,115 | INFO | SKIP 01_save_session
2026-02-02 15:18:19,115 | INFO | RUN  02_capture_document_html
2026-02-02 15:18:28,073 | INFO | RUN  03_extract_from_document
2026-02-02 15:18:29,177 | INFO | RUN  select_events
2026-02-02 15:18:29,354 | INFO | SKIP 20_make_risk_windows
2026-02-02 15:18:29,354 | INFO | SKIP 30_refresh_actuals
2026-02-02 15:18:29,354 | INFO | SKIP 40_compute_surprise
2026-02-02 15:18:29,355 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 15:19:42,748 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 15:19:42,748 | INFO | SKIP 01_save_session
2026-02-02 15:19:42,748 | INFO | RUN  02_capture_document_html
2026-02-02 15:19:51,009 | INFO | RUN  03_extract_from_document
2026-02-02 15:19:51,533 | INFO | RUN  select_events
2026-02-02 15:19:51,712 | INFO | SKIP 20_make_risk_windows
2026-02-02 15:19:51,712 | INFO | SKIP 30_refresh_actuals
2026-02-02 15:19:51,713 | INFO | SKIP 40_compute_surprise
2026-02-02 15:19:51,713 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 15:31:11,713 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 15:31:11,713 | INFO | SKIP 01_save_session
2026-02-02 15:31:11,714 | INFO | RUN  02_capture_document_html
2026-02-02 15:31:19,655 | INFO | RUN  03_extract_from_document
2026-02-02 15:31:20,281 | INFO | RUN  select_events
2026-02-02 15:31:20,462 | INFO | SKIP 20_make_risk_windows
2026-02-02 15:31:20,463 | INFO | SKIP 30_refresh_actuals
2026-02-02 15:31:20,463 | INFO | SKIP 40_compute_surprise
2026-02-02 15:31:20,464 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 15:44:07,265 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 15:44:07,266 | INFO | SKIP 01_save_session
2026-02-02 15:44:07,266 | INFO | RUN  02_capture_document_html
2026-02-02 15:44:16,097 | INFO | RUN  03_extract_from_document
2026-02-02 15:44:16,845 | INFO | RUN  select_events
2026-02-02 15:44:17,029 | INFO | SKIP 20_make_risk_windows
2026-02-02 15:44:17,029 | INFO | SKIP 30_refresh_actuals
2026-02-02 15:44:17,029 | INFO | SKIP 40_compute_surprise
2026-02-02 15:44:17,030 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 15:49:05,816 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 15:49:05,816 | INFO | SKIP 01_save_session
2026-02-02 15:49:05,817 | INFO | RUN  02_capture_document_html
2026-02-02 15:49:14,465 | INFO | RUN  03_extract_from_document
2026-02-02 15:49:15,082 | INFO | RUN  select_events
2026-02-02 15:49:15,243 | INFO | SKIP 20_make_risk_windows
2026-02-02 15:49:15,243 | INFO | SKIP 30_refresh_actuals
2026-02-02 15:49:15,243 | INFO | SKIP 40_compute_surprise
2026-02-02 15:49:15,244 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 15:54:02,988 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 15:54:02,989 | INFO | SKIP 01_save_session
2026-02-02 15:54:02,989 | INFO | RUN  02_capture_document_html
2026-02-02 15:54:11,000 | INFO | RUN  03_extract_from_document
2026-02-02 15:54:11,532 | INFO | RUN  select_events
2026-02-02 15:54:11,696 | INFO | SKIP 20_make_risk_windows
2026-02-02 15:54:11,696 | INFO | SKIP 30_refresh_actuals
2026-02-02 15:54:11,696 | INFO | SKIP 40_compute_surprise
2026-02-02 15:54:11,697 | INFO | === CALENDAR PIPELINE END ===
